Номер заказа|Дата заказа|Название товара|Категория товара|Количество продаж|Цена за единицу|Общая стоимость
1|18.08.2022|14.1" Ноутбук DEXP Aquilon серебристый|Ноутбуки|271|17399|4715129
2|29.08.2022|15.6" Ноутбук DEXP Atlas M15-A5W304 серый|Ноутбуки|41|37499|1537459
3|15.09.2022|15.6" Ноутбук ASUS ExpertBook B1502CGA-BQ0086X черный|Ноутбуки|64|37999|2431936
4|01.12.2022|14" Чехол DEXP Pu-WAS-22 серый|Чехлы для ноутбуков|27|1199|32373
5|27.12.2022|Столик для ноутбука Aceline T-3 черный|Столики для ноутбуков|2099|637|1337063
6|16.01.2023|Процессор AMD FX-4300 BOX|Процессор|582|1799|1047018
7|27.02.2023|Процессор AMD Athlon 200GE OEM|Процессор|609|3599|2191791
8|06.03.2023|Блок питания AeroCool VX PLUS 350W|Блоки питания|13800|1999|27586200
9|22.03.2023|1 ТБ Жесткий диск Toshiba P300|Жесткие диски|1200|6399|7678800
10|03.04.2023|1 ТБ Жесткий диск WD Blue|Жесткие диски|2400|6699|16077600
